"DNI_CLI","ID_PROV","NOMBRE","APELLIDO","CONTACTO","DOMICILIO","CIUDAD","Disponibilidad","Email"
"87539","1","German","Mendez","1111111","Chubut 190","San Rafael","0","gm@hotmail.com"
"111222","1","Richard","Winters","1111112","Siempreviva 512","Palermo","1","dickwinters@hotmail.com"
"288236","12","Fernando","Fernandez","333222","Las toninas 198","San Rafael","1","ff@hotmail.com"
"333442","16","Anastasia","Gomez","6666666","Jilguero 123","Maipu","1","anastasiag@hotmail.com"
"333444","12","Cira","Ojeda","33334","Barrio Militar 23","Godoy","1","cira@hotmail.com"
"334566","12","Nataly","Rodas","887799998","San Martin 990","Mendoza","1","nr@hotmail.com"
"999000","12","Charlotte","Cannigia","90009","San fernando 8890","Mendoza","1","chcgg@hotmail.com"
"id_cob","cobertura"
"1","SWISS Medical"
"2","OSDE"
"3","IOSFA"
"4","Medife"
"5","SIN Obra Social"
"ID_COMPRA","ID_PROVEEDOR","ID_PAGO","FECHA"
"11","1019","1","45000.00"
"12","1019","1","45000.00"
"13","1019","1","45000.00"
"14","1019","1","45000.00"
"15","1012","1","35000.00"
"15","1018","1","55000.00"
"16","1018","1","55000.00"
"16","1015","1","6000.00"
"16","1016","1","45000.00"
"17","1018","1","55000.00"
"17","1016","1","45000.00"
"17","1011","1","9000.00"
"18","1021","1","43000.00"
"19","1022","1","45000.00"
"20","1022","1","45000.00"
"21","1020","1","45000.00"
"21","1012","1","35000.00"
"21","1015","1","6000.00"
"21","1018","1","55000.00"
"22","1022","1","45000.00"
"22","1021","1","43000.00"
"22","1011","1","9000.00"
"22","1010","1","8000.00"
"23","1017","1","35000.00"
"24","1019","1","45000.00"
"24","1021","1","43000.00"
"25","1020","1","45000.00"
"25","1018","1","55000.00"
"25","1015","1","6000.00"
"ID_ESTATUS","ESTATUS"
"1","Nacional"
"2","Importado"
"id_prod","cantidad_v","cantidad_c"
"1013","2","100"
"1014","0","50"
"1011","3","60"
"1017","2","78"
"1012","2","100"
"1010","1","90"
"1015","4","150"
"1016","3","30"
"1019","11","20"
"1018","7","15"
"1020","2","19"
"1021","3","25"
"1022","3","40"
"ID_JER","JERARQUIA"
"1","Administrador"
"2","Usuario"
"3","Encargado de Compras"
"4","Gerente Comercial"
"5","Gerente Contable"
"6","Encargado de Ventas"
"7","Encargado de Inventario"
"ID_MARCA","ID_ESTATUS","MARCA","Disponibilidad"
"1","1","Infinit","1"
"2","1","Ranieri","1"
"3","1","Interlenses Argentina","1"
"4","1","Optitech","1"
"5","2","Ray-Ban","1"
"6","2","Gucci","1"
"7","2","Maui Jim","1"
"8","2","Carrera","1"
"9","2","CooperVision","1"
"10","1","Reef","1"
"11","2","Zeiss","0"
"12","1","Prune","1"
"13","2","Prada","1"
"14","2","Vogue","1"
"15","1","Wanama","1"
"16","1","Orbital by:Zaira Nara","1"
"ID_PROD","ID_PROVEEDOR","ID_MARCA","PRODUCTO","PRECIO_VENTA","PRECIO_COMPRA","IMAGEN","id_tipoprod","MODELO","MATERIAL","DESCRIPCION","Disponibilidad"
"1010","666775","13","Cadena Prada Rosa","8000.00","3000.00","assets/productos/cadena_prada.webp","3","Plastic Pink","Plastico","Rosa","1"
"1011","666775","15","Cadena Wanama Steel","9000.00","3500.00","assets/productos/cadena_wanama.webp","3","Cadena Metal","Metal","----","1"
"1012","838747","8","Lentes de sol Carrera","35000.00","15000.00","assets/productos/carrera.webp","4","MK3","Metal","---","1"
"1013","847465","3","Lentes de contacto COLOR","6000.00","500.00","assets/productos/interlenses_color.png","1","Semanal color Celeste 001","plastico","----","1"
"1014","847465","9","Solucion Lentes de Contacto CooperVISION","900.00","400.00","assets/productos/coopervision_solucion.webp","3","Limpiador 200ml","----","----","0"
"1015","6667423","10","Correa Reef","6000.00","2500.00","assets/productos/correa_reef.jpg","3","Sport sujetador universal","Tela","Negro liso ","0"
"1016","6667423","6","Lentes sol Gucci","45000.00","20000.00","assets/productos/gucci.png","4","Gucci golden ","Metal","Dorado","1"
"1017","838747","1","Armazon Infinit","35000.00","17000.00","assets/productos/infinit.webp","2","Black infinit","plastico","Negro liso ","1"
"1018","838747","14","Montura Vogue Black","55000.00","23000.00","assets/productos/vogue.jpeg","2","Office Black","Plastico","----","1"
"1019","838747","11","Armazon Zeiss Transparente","45000.00","20000.00","assets/productos/zeiss.webp","2","Zeiss 900","Plastico","----","1"
"1020","666775","2","Armazon Ranieri rustic","45000.00","15000.00","assets/productos/armazon-renieri.jpg","2","Ranieri rustic","Madera","claro","1"
"1021","838747","4","Armazon Optitech 82","43000.00","18000.00","assets/productos/opti_arm.jpg","2","Optitech 82","Metal","Negro liso ","1"
"1022","847465","5","Armazon Ray Ban Golden Black","45000.00","20000.00","assets/productos/ray_arm.jpg","2","Golden Black","Plastico","Negro liso ","1"
"1023","838747","13","Armazon Prada square","50000.00","20000.00","assets/productos/prada_arm.jpg","2","Prada Square","Metal","Metal negro","1"
"1024","666775","5","Lentes de sol RayBan sunset","48000.00","19000.00","assets/productos/sunset_rayban.jpg","4","Sunset beige ray ban","Plastico","Beige","1"
"id_promo","promo","terminos","valor_descuento","activo"
"1","Envio Gratis","lorem lorem lorem lorem lorem lorem","5","0"
"2","Verano2025","lorem lorem lorem lorem","30","1"
"3","SIN PROMO","lorem lorem lorem lorem lorem lorem","0","1"
"4","MIERCOLES Rebaja","hhhhhhhhhhh","10","1"
"5","Asociados OSDE","hhshhshshhhshhsh","30","1"
"6","Buena vista","Valida para compras que incluyan armazones/monturas","20","1"
"ID_PROVEEDOR","ID_PROV","PROVEEDOR","CONTACTO","DOMICILIO","CIUDAD","Email","Disponibilidad"
"121212","5","Ziltec","1111222","Pueyrredón 4701","Carlos paz","ziltec@optica.com","1"
"666775","12","LentesLen MDZ","1928391","Godoy 728","Mendoza","lenteslen@hotmail.com","1"
"838747","5","Eyez","12291221","Los Angeles 290","Cordoba","eyez@hotmail.com","1"
"847465","5","Optica del Sur","192883","las golondrinas 192 piso 1","Cordoba","opticasur@hotmail.com","1"
"909090","1","Optica LookOut","999999","Santa fe 1900","CABA","opticaLO@hotmail.com","1"
"6667423","1","Sunset 11","1123344","Entre rios 992","Palermo","sunset11@hotmail.com","1"
"ID_PROV","PROVINCIA_DESC"
"1","Buenos Aires"
"2","Catamarca"
"3","Chaco"
"4","Chubut"
"5","Cordoba"
"6","Corrientes"
"7","Entre Rios"
"8","Formosa"
"9","Jujuy"
"10","La Pampa"
"11","La Rioja"
"12","Mendoza"
"13","Misiones"
"14","Neuquen"
"15","Rio Negro"
"16","Salta"
"17","San Juan"
"18","San Luis"
"19","Santa Cruz"
"20","Santa Fe"
"21","Santiago del Estero"
"22","Tierra del Fuego"
"23","Tucuman"
"id_receta","fecha","ojo_der_esf","ojo_der_cil","ojo_izq_esf","ojo_izq_cil","archivo_receta","indice_refraccion","id_cristal"
"15","2025-02-22","NO","SI","NO","SI","C:\1xampp\htdocs\Clases\VISION CLARA\SFI-V2-master\funciones/uploads/1740220815_Ejemplo_receta.webp","2.00","2"
"16","2025-02-22","SI","NO","SI","NO","C:\1xampp\htdocs\Clases\VISION CLARA\SFI-V2-master\funciones/uploads/1740221583_WhatsApp Image 2024-10-11 at 1.39.40 PM.jpeg","0.00","2"
"17","2025-02-22","SI","NO","SI","NO","C:\1xampp\htdocs\Clases\VISION CLARA\SFI-V2-master\funciones/uploads/1740221916_WhatsApp Image 2024-09-17 at 21.58.04.jpeg","1.00","3"
"18","2025-02-22","SI","NO","SI","NO","C:\1xampp\htdocs\Clases\VISION CLARA\SFI-V2-master\funciones/uploads/1740222057_armazon-renieri.jpg","2.00","3"
"19","2025-02-22","SI","NO","SI","NO","C:\1xampp\htdocs\Clases\VISION CLARA\SFI-V2-master\funciones/uploads/1740222057_SPRINT 0 (6).png","2.00","3"
"20","2025-02-22","SI","NO","SI","NO","C:\1xampp\htdocs\Clases\VISION CLARA\SFI-V2-master\funciones/uploads/1740224865_WhatsApp Image 2024-02-07 at 14.18.17.jpeg","1.00","2"
"21","2025-02-22","NO","SI","NO","SI","C:\1xampp\htdocs\Clases\VISION CLARA\SFI-V2-master\funciones/uploads/1740224865_WhatsApp Image 2024-02-13 at 17.00.39.jpeg","2.00","3"
"22","2025-02-22","SI","NO","SI","NO","C:\1xampp\htdocs\Clases\VISION CLARA\SFI-V2-master\funciones/uploads/1740231517_WIN_20240917_21_52_59_Pro.jpg","1.20","1"
"23","2025-02-24","SI","NO","SI","NO","C:\1xampp\htdocs\Clases\VISION CLARA\SFI-V2-master\funciones/uploads/1740403438_Captura de pantalla 2023-11-03 184404.png","1.20","1"
"24","2025-02-24","NO","SI","NO","SI","C:\1xampp\htdocs\Clases\VISION CLARA\SFI-V2-master\funciones/uploads/1740403438_Captura de pantalla 2023-11-03 185205.png","1.30","3"
"25","2025-02-25","SI","NO","SI","NO","C:\1xampp\htdocs\Clases\VISION CLARA\SFI-V2-master\funciones/uploads/1740489012_Captura de pantalla 2023-11-03 163650.png","1.00","2"
"26","2025-02-25","SI","NO","SI","NO","C:\1xampp\htdocs\Clases\VISION CLARA\SFI-V2-master\funciones/uploads/1740489012_Captura de pantalla 2023-11-03 163703.png","2.00","2"
"id_receta","id_trat"
"17","1"
"17","6"
"18","1"
"18","6"
"19","4"
"20","2"
"20","4"
"21","5"
"21","6"
"22","1"
"23","1"
"24","6"
"25","1"
"25","3"
"26","1"
"26","4"
"ID_ENT","ENTREGA"
"1","Entrega Inmediata"
"2","Producto para laboratorio"
"3","MIXTA (Entrega Inm./Laboratorio)"
"ID_PAGO","PAGO"
"1","Efectivo"
"2","Tarjeta de Credito"
"3","Tarjeta de Debito"
"4","Transferencia Bancaria"
"id_tipoprod","tipoproducto_desc"
"1","Lentes de Contacto"
"2","Montura"
"3","Accesorio"
"4","Lentes de Sol"
"5","Producto Terapeutico y/o Especializado"
"6","Dispositivo Optico Complementario"
"7","Tecnologia Optica"
"id_trat","tipo_trat","precio"
"1","Antirreflejante","10000.00"
"2","Endurecido","11000.00"
"3","Antivaho","12000.00"
"4","Fotocromatico","14000.00"
"5","Polarizado","13000.00"
"6","Luz Azul","11000.00"
"DNI_U","ID_JER","ID_PROV","CONTRASENA","NOMBRE","APELLIDO","USUARIO","CONTACTO","DOMICILIO","CIUDAD","Disponibilidad"
"55555","1","12","matias","Matias","Gomez","mg@administrador.com","555555","Belgrano","Tunuyan","1"
"60606","2","22","111","Homero","Simpson","hs@hotmail.com","10101","Evergreen","Maipu","1"
"66788","3","1","lara","Lara Maria","Fort","lf@encacompras.com","777777","Godoy 777","Maipu","1"
"83992","2","14","guri","Guri","Ojeda","go@hotmail.com","882993","Godoy","Las Lajas","0"
"111000","2","12","marge","Marge","Simpson","ms@hotmail.com","9900","Evergreen","Maipu","1"
"333222","2","12","pamela","Pamela","Rey","pr_@hotmail.com","55555","San martin 223","Las heras","0"
"455444","2","12","camila","Camila","Law","cl@hotmail.com","111100","Buenos aires 456","Malargüe","1"
"555666","2","17","roberto","Roberto","Fernandez","rf@hotmail.com","77777","Alberdi 89","San juan","1"
"778877","6","1","marta","Marta","Martius","mm@encventas.com","77778","España 1992","Maipu","1"
"884663","2","12","lisa","Lisa Marie","Simpson","ls@hotmail.com","883772","Evergreen","Maipu","1"
"888333","7","12","javir","Javier","Fenix","jf@encinventario.com","8888883","San martin 1126","Mendoza","1"
"888999","2","12","graciela","Graciela","Moreno","grm@hotmail.com","1112211","Reyes 2001","Malargüe","0"
"4445554","4","1","lily","Lily","Simons","lsl@gercomercial.com","444444444","Casilda 289","Mendoza","1"
"7776667","5","1","loreley","Loreley","Martinez","lm@gercontable.com","777777776","San juan 1225","Mendoza","1"
"27389112","1","1","snow","Colaruis","Snow","cs@administrador.com","1","Hunger game 10","CABA","1"
"42518893","2","14","melin","Melina","Ojeda","melicareli2000@hotmail.com","777777","Godoy","Las Lajas","1"
"77666777","2","12","aldana","Aldana","Obregon","ao@hotmail.com","444444","Martignac","Las heras","0"
"111111111","2","1","kina","Kina","Nardini","2000@hotmail.com","88888","Godoy","Uspallata","1"
"ID_VENTA","DNI_CLI","FECHA","ID_ENT","ID_PAGO","id_promo","DNI_U","id_cob","total"
"1","999000","2025-02-19 04:17:38","1","1","5","111000","2","42000.00"
"2","111222","2025-02-20 05:37:00","2","3","1","111000","3","52250.00"
"3","999000","2025-02-20 05:40:24","2","1","3","111000","2","45000.00"
"4","111222","2025-02-20 05:45:35","2","1","3","111000","1","45000.00"
"5","334566","2025-02-20 06:00:05","2","2","2","111000","1","31500.00"
"6","111222","2025-02-20 08:02:54","2","3","5","111000","2","24500.00"
"7","999000","2025-02-20 08:04:05","3","4","1","111000","3","48450.00"
"8","334566","2025-02-20 08:12:57","3","1","2","111000","5","35700.00"
"9","111222","2025-02-20 08:15:37","2","2","2","111000","4","31500.00"
"10","334566","2025-02-20 08:20:27","2","1","2","111000","1","38500.00"
"11","111222","2025-02-22 04:00:23","2","2","3","111000","2","45000.00"
"12","334566","2025-02-22 04:04:00","1","1","2","111000","4","31500.00"
"13","999000","2025-02-22 04:22:48","2","1","1","111000","3","42750.00"
"14","111222","2025-02-22 04:29:38","2","3","5","111000","2","31500.00"
"15","288236","2025-02-22 04:42:02","3","3","5","111000","2","63000.00"
"16","111222","2025-02-22 04:47:08","3","4","3","111000","2","106000.00"
"17","111222","2025-02-22 04:53:42","3","4","2","111000","2","76300.00"
"18","999000","2025-02-22 07:39:36","2","3","5","111000","2","30100.00"
"19","111222","2025-02-22 07:52:18","2","4","1","111000","1","42750.00"
"20","999000","2025-02-22 07:57:28","2","4","3","111000","1","45000.00"
"21","111222","2025-02-22 07:58:51","3","3","2","111000","3","98700.00"
"22","334566","2025-02-22 08:45:32","3","3","5","111000","2","73500.00"
"23","288236","2025-02-22 10:37:31","2","2","3","111000","5","35000.00"
"24","111222","2025-02-24 10:12:06","2","3","2","55555","2","97300.00"
"25","111222","2025-02-25 10:08:20","3","2","5","42518893","2","127400.00"
"id_venta","id_prod","id_receta"
"22","1022","20"
"22","1021","21"
"18","1021","15"
"19","1022","16"
"20","1022","17"
"21","1020","18"
"21","1018","19"
"23","1017","22"
"24","1019","23"
"24","1021","24"
"25","1020","25"
"25","1018","26"
